# Resource monitor: nav2_amcl (algorithm=amcl)
# timestamp_s  cpu_pct  ram_mb
1.0  8.00  28.6
2.0  8.00  28.7
3.0  9.00  28.7
4.0  8.00  28.7
5.0  7.00  28.7
6.0  9.00  28.7
7.0  8.00  28.7
8.0  8.00  28.9
9.0  9.00  28.9
10.0  8.00  28.9
11.0  8.00  28.9
12.0  8.00  28.9
13.0  9.00  28.9
14.0  9.00  28.9
15.0  8.00  28.9
16.0  9.00  28.9
17.0  9.00  29.0
18.0  8.00  29.0
19.0  10.00  29.0
20.0  8.00  29.0
21.0  9.00  29.0
22.0  8.00  29.0
23.0  9.00  29.0
24.0  8.00  29.0
25.0  9.00  29.0
26.0  8.00  29.0
27.0  9.00  29.0
28.0  10.00  29.0
29.0  8.00  29.0
30.0  9.00  29.0
31.0  8.00  29.0
32.0  9.00  29.0
33.0  9.00  29.0
34.0  8.00  29.0
35.0  9.00  29.0
36.0  8.00  29.0
37.0  9.00  29.0
38.0  8.00  29.0
39.0  9.00  29.0
40.0  10.00  29.0
41.0  8.00  29.0
42.0  9.00  29.0
43.0  8.00  29.0
44.0  9.00  29.0
45.0  9.00  29.0
46.0  8.00  29.0
47.0  9.00  29.0
48.0  9.00  29.0
49.0  8.00  29.0
50.0  9.00  29.0
51.0  8.00  29.0
52.0  10.00  29.0
53.0  8.00  29.0
54.0  9.00  29.0
55.0  8.00  29.0
56.0  10.00  29.0
57.0  8.00  29.1
58.0  8.00  29.1
59.0  9.00  29.1
60.0  9.00  29.1
61.0  8.00  29.1
62.0  9.00  29.1
63.0  8.00  29.1
64.0  10.00  29.1
65.0  8.00  29.1
66.0  10.00  29.1
67.0  8.00  29.1
68.0  9.00  29.1
69.0  9.00  29.1
70.0  9.00  29.1
71.0  9.00  29.1
72.0  8.00  29.1
73.0  9.00  29.1
74.0  9.00  29.1
75.0  8.00  29.1
76.0  9.00  29.1
77.0  8.00  29.1
78.0  10.00  29.1
79.0  8.00  29.1
80.0  9.00  29.1
81.0  8.00  29.1
82.0  8.00  29.1
83.0  10.00  29.1
84.0  8.00  29.1
85.0  9.00  29.1
86.0  8.00  29.1
87.0  9.00  29.1
88.0  9.00  29.1
89.0  8.00  29.1
90.0  9.00  29.1
91.0  8.00  29.1
92.0  9.00  29.1
93.0  9.00  29.1
94.0  9.00  29.1
95.0  9.00  29.1
96.0  9.00  29.1
97.0  9.00  29.1
98.0  8.00  29.1
99.0  9.00  29.1
100.0  9.00  29.1
101.0  9.00  29.1
102.0  8.00  29.1
103.0  8.00  29.1
104.0  10.00  29.1
105.0  8.00  29.1
106.0  9.00  29.1
107.0  9.00  29.1
108.0  8.00  29.1
109.0  9.00  29.1
110.0  8.00  29.1
111.0  9.00  29.1
112.0  10.00  29.1
113.0  8.00  29.1
114.0  8.00  29.1
115.0  9.00  29.1
116.0  8.00  29.2
117.0  10.00  29.2
118.0  8.00  29.2
119.0  9.00  29.2
120.0  8.00  29.2
121.0  10.00  29.2
122.0  9.00  29.2
123.0  8.00  29.2
124.0  9.00  29.2
125.0  8.00  29.2
126.0  8.00  29.2
127.0  9.00  29.2
128.0  9.00  29.2
129.0  9.00  29.2
130.0  9.00  29.2
131.0  9.00  29.2
132.0  8.00  29.2
133.0  9.00  29.2
134.0  9.00  29.2
135.0  9.00  29.2
136.0  8.00  29.2
137.0  8.00  29.2
138.0  10.00  29.2
139.0  9.00  29.2
140.0  8.00  29.2
141.0  8.00  29.2
142.0  9.00  29.2
143.0  9.00  29.2
144.0  9.00  29.2
145.0  9.00  29.2
146.0  8.00  29.2
147.0  9.00  29.2
148.0  10.00  29.2
149.0  7.00  29.2
150.0  9.00  29.2
151.0  9.00  29.2
152.0  9.00  29.2
153.0  9.00  29.2
154.0  8.00  29.2
155.0  9.00  29.2
156.0  8.00  29.2
157.0  9.00  29.2
158.0  9.00  29.2
159.0  9.00  29.2
160.0  9.00  29.2
161.0  7.00  29.2
162.0  10.00  29.2
163.0  8.00  29.2
164.0  9.00  29.2
165.0  8.00  29.2
166.0  9.00  29.2
167.0  9.00  29.2
168.0  9.00  29.2
169.0  8.00  29.2
170.0  10.00  29.2
171.0  8.00  29.2
172.0  9.00  29.3
173.0  9.00  29.3
174.0  8.00  29.3
175.0  9.00  29.3
176.0  9.00  29.3
177.0  8.00  29.3
178.0  9.00  29.3
179.0  9.00  29.3
180.0  8.00  29.3
181.0  9.00  29.3
182.0  9.00  29.3
183.0  8.00  29.3
184.0  9.00  29.3
185.0  9.00  29.3
186.0  9.00  29.3
187.0  8.00  29.3
188.0  9.00  29.3
189.0  8.00  29.3
190.0  10.00  29.3
191.0  8.00  29.3
192.0  9.00  29.3
193.0  8.00  29.3
194.0  9.00  29.3
195.0  9.00  29.3
196.0  8.00  29.3
197.0  10.00  29.3
198.1  8.00  29.3
199.1  9.00  29.3
200.1  9.00  29.3
201.1  9.00  29.3
202.1  9.00  29.3
203.1  8.00  29.3
204.1  9.00  29.3
205.1  8.00  29.3
206.1  9.00  29.3
207.1  10.00  29.3
208.1  8.00  29.3
209.1  8.00  29.3
210.1  9.00  29.3
211.1  8.00  29.3
212.1  10.00  29.3
213.1  8.00  29.3
214.1  10.00  29.3
215.1  9.00  29.3
216.1  8.00  29.3
217.1  8.00  29.3
218.1  9.00  29.3
219.1  9.00  29.3
220.1  9.00  29.3
221.1  9.00  29.3
222.1  8.00  29.3
223.1  9.00  29.3
224.1  9.00  29.3
225.1  8.00  29.4
226.1  9.00  29.4
227.1  9.00  29.4
228.1  8.00  29.4
229.1  9.00  29.4
230.1  8.00  29.4
231.1  10.00  29.4
232.1  9.00  29.4
233.1  8.00  29.4
234.1  10.00  29.4
235.1  7.00  29.4
236.1  9.00  29.4
237.1  10.00  29.4
238.1  8.00  29.4
239.1  9.00  29.4
240.1  8.00  29.4
241.1  9.00  29.4
242.1  8.00  29.4
243.1  10.00  29.4
244.1  8.00  29.4
245.1  8.00  29.4
246.1  10.00  29.4
247.1  8.00  29.4
248.1  9.00  29.4
249.1  9.00  29.4
250.1  10.00  29.4
251.1  8.00  29.4
252.1  9.00  29.4
253.1  8.00  29.4
254.1  9.00  29.4
255.1  9.00  29.4
256.1  8.00  29.4
257.1  10.00  29.4
258.1  8.00  29.4
259.1  8.00  29.4
260.1  9.00  29.4
261.1  9.00  29.4
262.1  9.00  29.4
263.1  8.00  29.4
264.1  9.00  29.4
265.1  8.00  29.4
266.1  9.00  29.4
267.1  9.00  29.4
268.1  8.00  29.4
269.1  9.00  29.4
270.1  9.00  29.4
271.1  8.00  29.4
272.1  10.00  29.4
273.1  8.00  29.4
274.1  10.00  29.4
275.1  8.00  29.4
276.1  8.00  29.4
277.1  9.00  29.4
278.1  9.00  29.4
279.1  9.00  29.4
280.1  8.00  29.4
281.1  9.00  29.5
282.1  9.00  29.5
283.1  9.00  29.5
284.1  8.00  29.5
285.1  10.00  29.5
286.1  9.00  29.5
287.1  8.00  29.5
288.1  9.00  29.5
289.1  8.00  29.5
290.1  9.00  29.5
291.1  9.00  29.5
292.1  9.00  29.5
293.1  9.00  29.5
294.1  7.00  29.5
295.1  9.00  29.5
296.1  10.00  29.5
297.1  8.00  29.5
298.1  9.00  29.5
299.1  9.00  29.5
300.1  9.00  29.5
301.1  8.00  29.5
302.1  8.00  29.5
303.1  10.00  29.5
304.1  8.00  29.5
305.1  8.00  29.5
306.1  9.00  29.5
307.1  9.00  29.5
308.1  9.00  29.5
309.1  9.00  29.5
310.1  8.00  29.5
311.1  9.00  29.5
312.1  9.00  29.5
313.1  9.00  29.5
314.1  9.00  29.5
315.1  8.00  29.5
316.1  9.00  29.5
317.1  9.00  29.5
318.1  8.00  29.5
319.1  9.00  29.5
320.1  9.00  29.5
321.1  8.00  29.5
322.1  6.00  28.8
323.1  1.00  28.8

[SUMMARY]
n_samples:    323
cpu_mean_pct: 8.66
cpu_max_pct:  10.00
cpu_min_pct:  1.00
ram_mean_mb:  29.2
ram_max_mb:   29.5
ram_min_mb:   28.6
