# Resource monitor: nav2_amcl (algorithm=amcl)
# timestamp_s  cpu_pct  ram_mb
1.0  9.00  28.9
2.0  8.00  29.0
3.0  8.00  29.0
4.0  7.00  29.0
5.0  8.00  29.0
6.0  8.00  29.0
7.0  8.00  29.0
8.0  9.00  29.1
9.0  9.00  29.2
10.0  7.00  29.2
11.0  9.00  29.2
12.0  9.00  29.2
13.0  9.00  29.2
14.0  8.00  29.2
15.0  9.00  29.2
16.0  9.00  29.2
17.0  9.00  29.2
18.0  8.00  29.2
19.0  8.00  29.2
20.0  10.00  29.2
21.0  8.00  29.2
22.0  8.00  29.2
23.0  9.00  29.2
24.0  9.00  29.2
25.0  9.00  29.2
26.0  9.00  29.2
27.0  8.00  29.2
28.0  9.00  29.2
29.0  8.00  29.2
30.0  9.00  29.2
31.0  9.00  29.2
32.0  9.00  29.2
33.0  8.00  29.2
34.0  9.00  29.2
35.0  9.00  29.2
36.0  9.00  29.2
37.0  8.00  29.2
38.0  9.00  29.2
39.0  9.00  29.2
40.0  8.00  29.2
41.0  9.00  29.2
42.0  9.00  29.2
43.0  8.00  29.2
44.0  9.00  29.2
45.0  10.00  29.2
46.0  8.00  29.2
47.0  8.00  29.2
48.0  9.00  29.2
49.0  9.00  29.2
50.0  8.00  29.2
51.0  8.00  29.2
52.0  10.00  29.2
53.0  8.00  29.2
54.0  9.00  29.2
55.0  9.00  29.2
56.0  8.00  29.2
57.0  9.00  29.2
58.0  8.00  29.2
59.0  9.00  29.2
60.0  9.00  29.3
61.0  9.00  29.3
62.0  9.00  29.3
63.0  8.00  29.3
64.0  10.00  29.3
65.0  8.00  29.3
66.0  8.00  29.3
67.0  9.00  29.3
68.0  11.00  29.3
69.0  8.00  29.3
70.0  8.00  29.3
71.0  9.00  29.3
72.0  8.00  29.3
73.0  10.00  29.3
74.0  8.00  29.3
75.0  9.00  29.3
76.0  9.00  29.3
77.0  8.00  29.3
78.0  9.00  29.3
79.0  8.00  29.3
80.0  9.00  29.3
81.0  9.00  29.3
82.0  9.00  29.3
83.0  8.00  29.3
84.0  9.00  29.3
85.0  8.00  29.3
86.0  9.00  29.3
87.0  9.00  29.3
88.0  9.00  29.3
89.0  9.00  29.3
90.0  8.00  29.3
91.0  9.00  29.3
92.0  9.00  29.3
93.0  8.00  29.3
94.0  9.00  29.3
95.0  9.00  29.3
96.0  9.00  29.3
97.0  9.00  29.3
98.0  9.00  29.3
99.0  8.00  29.3
100.0  9.00  29.3
101.0  8.00  29.3
102.0  9.00  29.3
103.0  9.00  29.3
104.0  9.00  29.3
105.0  8.00  29.3
106.0  9.00  29.3
107.0  9.00  29.3
108.0  8.00  29.3
109.0  9.00  29.3
110.0  9.00  29.3
111.0  8.00  29.3
112.0  9.00  29.3
113.0  9.00  29.4
114.0  8.00  29.4
115.0  9.00  29.4
116.0  10.00  29.4
117.0  8.00  29.4
118.0  8.00  29.4
119.0  9.00  29.4
120.0  9.00  29.4
121.0  9.00  29.4
122.0  9.00  29.4
123.0  8.00  29.4
124.0  9.00  29.4
125.0  9.00  29.4
126.0  8.00  29.4
127.0  9.00  29.4
128.0  9.00  29.4
129.0  8.00  29.4
130.0  9.00  29.4
131.0  9.00  29.4
132.0  8.00  29.4
133.0  10.00  29.4
134.0  8.00  29.4
135.0  9.00  29.4
136.0  9.00  29.4
137.0  9.00  29.4
138.0  9.00  29.4
139.0  8.00  29.4
140.0  9.00  29.4
141.0  9.00  29.4
142.0  8.00  29.4
143.0  9.00  29.4
144.0  8.00  29.4
145.0  9.00  29.4
146.0  9.00  29.4
