# Resource monitor: async_slam_toolbox_node (algorithm=slam_toolbox)
# timestamp_s  cpu_pct  ram_mb
1.0  8.00  32.2
2.0  7.00  32.3
3.0  8.00  32.3
4.0  7.00  32.5
5.0  8.00  32.7
6.0  8.00  32.7
7.0  8.00  32.7
8.0  9.00  32.9
9.0  8.00  32.9
10.0  9.00  33.0
11.0  9.00  33.0
12.0  8.00  33.0
13.0  11.00  34.3
14.0  8.00  34.3
15.0  9.00  34.4
16.0  10.00  34.9
17.0  9.00  34.9
18.0  9.00  34.9
19.0  9.00  34.9
20.0  8.00  34.9
21.0  11.00  35.0
22.0  8.00  35.0
23.0  10.00  35.0
24.0  9.00  35.0
25.0  10.00  35.1
26.0  8.00  35.1
27.0  9.00  35.1
28.0  8.00  35.1
29.0  10.00  35.1
30.0  9.00  35.1
31.0  10.00  35.1
32.0  9.00  35.1
33.0  10.00  35.1
34.0  8.00  35.1
35.0  9.00  35.1
36.0  9.00  35.2
37.0  10.00  35.2
38.0  9.00  35.2
39.0  10.00  35.2
40.0  8.00  35.2
41.0  9.00  35.2
42.0  10.00  35.2
43.0  8.00  35.2
44.0  9.00  35.2
45.0  10.00  35.2
46.0  9.00  35.2
47.0  8.00  35.2
48.0  10.00  35.3
49.0  9.00  35.3
50.0  10.00  35.3
51.0  9.00  35.3
52.0  9.00  35.3
53.0  8.00  35.3
54.0  10.00  35.3
55.0  9.00  35.3
56.0  22.00  37.0
57.0  9.00  37.0
58.0  10.00  37.1
59.0  8.00  37.1
60.0  11.00  37.1
61.0  8.00  37.1
62.0  10.00  37.1
63.0  8.00  37.1
64.0  11.00  37.2
65.0  9.00  37.3
66.0  7.00  37.3
67.0  11.00  37.3
68.0  8.00  37.3
69.0  10.00  37.3
70.0  9.00  37.3
71.0  9.00  37.3
72.0  10.00  37.4
73.0  8.00  37.4
74.0  11.00  37.4
75.0  8.00  37.4
76.0  9.00  37.4
77.0  11.00  37.4
78.0  7.00  37.4
79.0  11.00  37.4
80.0  8.00  37.4
81.0  11.00  37.5
82.0  8.00  37.5
83.0  10.00  37.5
84.0  9.00  37.5
85.0  9.00  37.5
86.0  10.00  37.5
87.0  9.00  37.5
88.0  9.00  37.6
89.0  9.00  37.6
90.0  11.00  37.7
91.0  9.00  37.7
92.0  9.00  37.7
93.0  8.00  37.7
94.0  9.00  37.7
95.0  11.00  37.8
96.0  8.00  37.8
97.0  10.00  37.8
98.0  9.00  37.8
99.0  11.00  37.8
100.0  8.00  37.8
101.0  11.00  37.9
102.0  8.00  37.9
103.0  9.00  37.9
104.0  10.00  37.9
105.0  9.00  37.9
106.0  9.00  37.9
107.0  9.00  37.9
108.0  10.00  37.9
109.0  9.00  37.9
110.0  10.00  38.0
111.0  9.00  38.0
112.0  9.00  38.0
113.0  10.00  38.0
114.0  8.00  38.0
115.0  10.00  38.0
116.0  9.00  38.0
117.0  11.00  38.1
118.0  8.00  38.1
119.0  10.00  38.1
120.0  9.00  38.1
121.0  10.00  38.1
122.0  9.00  38.1
123.0  9.00  38.1
124.0  9.00  38.1
125.0  10.00  38.1
126.0  10.00  38.2
127.0  9.00  38.2
128.0  10.00  38.2
129.0  8.00  38.2
130.0  11.00  38.2
131.0  8.00  38.2
132.0  10.00  38.2
133.0  10.00  38.2
134.0  8.00  38.2
135.0  10.00  38.3
136.0  8.00  38.3
137.0  11.00  38.3
138.0  8.00  38.3
139.0  11.00  38.3
140.0  9.00  38.3
141.0  8.00  38.3
142.0  11.00  38.3
143.0  8.00  38.3
144.0  10.00  38.4
145.0  10.00  38.4
146.0  9.00  38.4
147.0  10.00  38.4
148.0  8.00  38.4
149.0  10.00  38.4
150.0  10.00  38.4
151.0  10.00  38.4
152.0  8.00  38.4
153.0  22.00  42.3
154.0  8.00  42.3
155.0  8.00  42.4
156.0  11.00  42.4
157.0  9.00  42.4
158.0  10.00  42.4
159.0  9.00  42.4
160.0  10.00  42.4
161.0  8.00  42.4
162.0  10.00  42.4
163.0  10.00  42.4
164.0  9.00  42.4
165.0  10.00  42.4
166.0  8.00  42.4
167.0  9.00  42.4
168.0  9.00  42.4
169.0  22.00  42.6
170.0  9.00  42.6
171.0  11.00  42.6
172.0  8.00  42.6
173.0  9.00  42.6
174.0  10.00  42.6
175.0  9.00  42.6
176.0  11.00  42.6
177.0  8.00  42.6
178.0  10.00  42.6
179.0  9.00  42.6
180.0  9.00  42.6
181.0  8.00  42.6
182.0  11.00  42.6
183.0  9.00  42.6
184.0  10.00  42.7
185.0  9.00  42.7
186.0  11.00  42.7
187.0  8.00  42.7
188.0  9.00  42.7
189.0  9.00  42.7
190.0  23.00  42.8
191.0  7.00  42.8
192.0  11.00  42.9
193.0  9.00  42.9
194.1  10.00  42.9
195.1  9.00  42.9
196.1  8.00  42.9
197.1  9.00  42.9
198.1  22.00  43.0
199.1  8.00  43.0
200.1  12.00  43.0
201.1  7.00  43.0
202.1  23.00  43.0
203.1  8.00  43.0
204.1  9.00  43.0
205.1  10.00  43.0
206.1  9.00  43.0
207.1  9.00  43.0
208.1  10.00  43.1
209.1  9.00  43.1
210.1  22.00  43.2
211.1  9.00  43.2
212.1  8.00  43.2
213.1  10.00  43.2
214.1  9.00  43.2
215.1  10.00  43.2
216.1  9.00  43.2
217.1  10.00  43.2
218.1  9.00  43.2
219.1  8.00  43.2
220.1  23.00  43.3
221.1  8.00  43.3
222.1  11.00  43.3
223.1  8.00  43.3
224.1  10.00  43.3
225.1  10.00  43.3
226.1  9.00  43.3
227.1  9.00  43.3
228.1  9.00  43.3
229.1  10.00  43.3
230.1  10.00  43.3
231.1  10.00  43.3
232.1  8.00  43.3
233.1  11.00  43.3
234.1  8.00  43.3
235.1  9.00  43.3
236.1  21.00  43.5
237.1  8.00  43.5
238.1  11.00  43.5
239.1  8.00  43.5
240.1  11.00  43.5
241.1  8.00  43.5
242.1  11.00  43.5
243.1  8.00  43.5
244.1  9.00  43.5
245.1  11.00  43.5
246.1  8.00  43.5
247.1  10.00  43.5
248.1  9.00  43.5
249.1  10.00  43.5
250.1  9.00  43.5
251.1  9.00  43.5
252.1  11.00  43.5
253.1  8.00  43.5
254.1  11.00  43.5
255.1  9.00  43.5
256.1  9.00  43.5
257.1  9.00  43.5
258.1  10.00  43.5
259.1  9.00  43.5
260.1  9.00  43.5
261.1  10.00  43.5
262.1  8.00  43.5
263.1  11.00  43.5
264.1  9.00  43.5
265.1  10.00  43.6
266.1  9.00  43.6
267.1  10.00  43.6
268.1  9.00  43.6
269.1  9.00  43.6
270.1  11.00  43.6
271.1  8.00  43.6
272.1  10.00  43.6
273.1  9.00  43.6
274.1  10.00  43.6
275.1  9.00  43.6
276.1  11.00  43.6
277.1  8.00  43.6
278.1  9.00  43.6
279.1  9.00  43.6
280.1  10.00  43.6
281.1  10.00  43.6
282.1  9.00  43.6
283.1  10.00  43.6
284.1  8.00  43.6
285.1  12.00  43.6
286.1  8.00  43.6
287.1  8.00  43.6
288.1  11.00  43.6
289.1  8.00  43.6
290.1  11.00  43.6
291.1  9.00  43.6
292.1  10.00  43.6
293.1  8.00  43.6
294.1  10.00  43.6
295.1  10.00  43.6
296.1  11.00  43.6
297.1  8.00  43.6
298.1  9.00  43.6
299.1  9.00  43.6
300.1  10.00  43.7
301.1  22.00  44.3
302.1  8.00  44.3
303.1  9.00  44.3
304.1  11.00  44.3
305.1  9.00  44.3
306.1  10.00  44.3
307.1  9.00  44.3
308.1  9.00  44.3
309.1  9.00  44.3
310.1  10.00  44.3
311.1  10.00  44.3
312.1  8.00  44.3
313.1  11.00  44.4
314.1  9.00  44.4
315.1  23.00  44.6
316.1  8.00  44.6
317.1  9.00  44.6
318.1  11.00  44.6
319.1  8.00  44.6
320.1  9.00  44.6
321.1  9.00  44.6
322.1  11.00  44.6
323.1  8.00  44.6
324.1  10.00  44.6
325.1  9.00  44.6
326.1  11.00  44.6
327.1  8.00  44.6
328.1  11.00  44.6
329.1  9.00  44.6
330.1  9.00  44.6
331.1  10.00  44.6
332.1  9.00  44.6
333.1  9.00  44.6
334.1  10.00  44.6
335.1  9.00  44.6
336.1  10.00  44.6
337.1  9.00  44.6
338.1  9.00  44.6
339.1  9.00  44.6
340.1  10.00  44.6
341.1  9.00  44.6
342.1  10.00  44.6
343.1  9.00  44.6
344.1  9.00  44.6
345.1  21.00  44.8
346.1  8.00  44.8
347.1  20.00  44.8
348.1  9.00  44.8
349.1  9.00  44.8
350.1  23.00  44.8
351.1  9.00  44.8
352.1  8.00  44.8
353.1  22.00  44.8
354.1  8.00  44.8
355.1  12.00  44.8
356.1  9.00  44.8
357.1  8.00  44.8
358.1  8.00  44.8
359.1  11.00  44.8
360.1  9.00  44.8
361.1  11.00  44.8
362.1  9.00  44.8
363.1  22.00  45.1
364.1  8.00  45.1
365.1  12.00  45.1
366.1  8.00  45.1
367.1  10.00  45.1
368.1  9.00  45.1
369.1  23.00  45.2
370.1  9.00  45.2
371.1  8.00  45.2
372.1  11.00  45.2
373.1  8.00  45.2
374.1  10.00  45.2
375.1  10.00  45.2
376.1  8.00  45.2
377.1  11.00  45.2
378.1  8.00  45.2
379.1  10.00  45.2
380.1  10.00  45.2
381.1  9.00  45.2
382.1  9.00  45.2
383.1  10.00  45.2
384.1  10.00  45.2
385.1  10.00  45.2
386.1  21.00  45.3
387.1  8.00  45.3
388.1  11.00  45.3
389.1  8.00  45.3
390.1  10.00  45.3
391.1  10.00  45.3
392.1  9.00  45.3
393.1  10.00  45.3
394.1  9.00  45.3
395.1  11.00  45.3
396.1  9.00  45.3
397.1  10.00  45.3
398.1  8.00  45.3
399.1  9.00  45.3
400.1  12.00  45.3
401.1  8.00  45.3
402.1  10.00  45.3
403.1  9.00  45.3
404.1  9.00  45.4
405.1  11.00  45.4
406.1  9.00  45.4
407.1  9.00  45.4
408.1  9.00  45.4
409.1  10.00  45.4
410.1  10.00  45.4
411.1  9.00  45.4
412.1  9.00  45.4
413.1  10.00  45.4
414.1  9.00  45.4
415.1  11.00  45.4
416.1  9.00  45.4
417.1  10.00  45.4
418.1  9.00  45.4
419.1  9.00  45.4
420.1  11.00  45.4
421.1  8.00  45.4
422.1  10.00  45.4
423.1  9.00  45.4
424.1  10.00  45.4
425.1  10.00  45.4
426.1  10.00  45.4
427.1  9.00  45.4
428.1  9.00  45.4
429.1  10.00  45.4
430.1  10.00  45.4
431.1  10.00  45.4
432.1  8.00  45.4
433.1  10.00  45.4
434.1  9.00  45.4
435.1  11.00  45.4
436.1  9.00  45.4
437.1  9.00  45.4
438.1  10.00  45.4
439.1  8.00  45.4
440.1  11.00  45.4
441.1  9.00  45.4
442.1  11.00  45.4
443.1  8.00  45.4
444.1  10.00  45.4
445.1  10.00  45.4
446.1  8.00  45.4
447.1  11.00  45.4
448.1  9.00  45.4
449.1  9.00  45.4
450.1  10.00  45.4
451.1  10.00  45.4
452.1  9.00  45.4
453.1  8.00  45.4
454.1  23.00  46.0
455.1  9.00  46.0
456.1  11.00  46.0
457.1  9.00  46.1
458.1  10.00  46.1
459.1  9.00  46.1
460.1  10.00  45.2
461.1  9.00  45.2
462.1  9.00  45.2
463.1  10.00  45.2
464.1  9.00  45.2
465.1  10.00  45.2
466.1  21.00  45.5
467.1  8.00  45.5
468.1  34.00  45.5
469.1  10.00  45.5
470.1  10.00  45.5
471.1  9.00  45.5
472.1  8.00  45.5
473.1  9.00  45.5
474.1  5.00  0.0

[SUMMARY]
n_samples:    474
cpu_mean_pct: 9.88
cpu_max_pct:  34.00
cpu_min_pct:  5.00
ram_mean_mb:  41.7
ram_max_mb:   46.1
ram_min_mb:   0.0
